								
	Страницы							
	7	На сей раз он загадал загадку покаверзнее:>>Ее не видать>И в руки не взять,>Царит над всем,>Не пахнем ничем.>Встает во весь рост>На небе меж звезд.>Все начинает>И все кончает.	15	расстояние	8	темнота	15	размерность
	8	— Ты справился с тремя загадками. Что ты ответишь на эту?>>Уничтожает все кругом:>Цветы, зверей, высокий дом,>Сжует железо, сталь сожрет>И скалы в порошок сотрет,>Мощь городов, власть королей>Его могущества слабей.	15	упокоение	9	время	15	эрозия
	9	Вам кажется, что все идет хорошо, но Голлум подозревает вас в краже своего волшебного кольца, способного делать владельца невидимым, и поэтому нападает на вас.>>Случайно, надев кольцо на палец, вы понимаете, что за способность оно в силах даровать.	901	Так, следуя за Голлумом, вы и находите выход из пещер.				
	901	А вскоре и своих спутников. Но вас снова настигают враги — на этот раз к отряду настигают гоблинов присоединяются варги, и только вмешательство орлов, которых успевает призвать ваш крайне полезный и результативный волшебник, спасает вам жизни.>>В дальнейшем вашем маршруте, который оказывается Лихолесьем, Гэндальф снова покидает вас, отправившись по неотложным делам. Лес кажется бесконечным, ему нет конца. Он темен и болен.	902	Вас и ваших спутников охватывает уныние				
	902	Именно оно заставляет их покинуть тропу, с которой запретил сходить маг, и оказаться посему в лапах гигантских пауков. Вы знаете, что можете помочь остальным, но для этого нужно воспользоваться кольцом, о котором вы мало что знаете, но которое уже вызывает в вас паническую тревогу. И вас все еще могут учуять, раз не могут увидеть!>>Однако время не терпит, и выбор должен быть сделан.	10	Вы решаете, что воспользоваться артефактом — единственный возможный вариант	15	Кольцо принадлежало ранее существу, которое сошло с ума — вы предпочли бы избежать такого исхода для себя		
	10	Однако не все гномы оказались в паучьей ловушке. В это время их предводитель, Торин, был схвачен и заточен эльфами. Отправившись его вызволять, они, обессиленные долгими скитаниями по гиблому лесу и схваткой, так же оказываются схваченными. Время тянется невыносимо уныло, пока гномов допрашивают и разводят по тюремным камерам.	1001	Вы прячетесь, не смея ни на минуту снять кольцо, почти не смыкая глаз, даже когда удается забиться в самый дальний, темный уголок.				
	1001	Дни в крепости эльфов, кажется, просто тянут время перед неминуемым крахом вашего предприятия. На этот раз Гэндальф не успеет прийти к ним на помощь.>>А тем временем вы — единственный из отряда, кто еще способен изменить ситуацию — для себя или для отряда.	11	И снова вы думаете воспользоваться кольцом	18	Вы не успеваете ничего сделать, попавшись страже эльфийского замка.	16	Возможно, самое время отступить и вернуться домой. Хотя бы живым.
	11	После успешного побега из эльфийского заключения, выш отряд наконец почти у цели — вы прибываете в Озёрный город, минуете его и достигаете Одинокой Горы.>>Теперь вы готовы справиться ос своей первоначальной задачей, предписанной контрактом, — по потайному пути вы двигаетесь в зал, где ныне дремлет дракон. Вы двигаетесь неслышно, невидимы его глазу благодаря кольцу.	1101	Но вы забыли, что у драконов поразительный нюх.				
	1101	— Ага, пожаловал, вор! Я тебя чую, я слышу твое дыхание. >>На этот раз вы хотите...	12	попытаться выиграть время, льстя дракону в надежде, что найдете выход	16	попытаться бежать	17	поговорить о произошедшем 
	12	— Я убиваю, когда захочу, никто не дерзает сопротивляться. Всех воинов прошлого я уничтожил, а нынче такие не рождаются, — злорадно торжествовал дракон. — Моя броня вдесятеро крепче щитов, мои зубы — мечи, когти — копья, удар хвоста подобен удару молнии, крылья несут с быстротой урагана, мое дыхание — смерть!	1201	Вы продолжаете наблюдать за драконом				
	1201	Вы узнаёте о слабом месте дракона — ведь слушая ваши льстивые речи и отвечая им, он случайно продемонстрировал отсутствующую чешую на его туловище. Однако, сумев скрыться, вы разозлили дракона, поэтому он решает отомстить жителям Озёрного города за помощь гномам в походе на гору, нападает на поселение и сжигает его.>>Дрозд, который услышал ваш рассказ об уязвимом месте дракона, сообщает об этом лучнику Барду, и тот убивает дракона.	13	Вперед				
	13	Теперь радость победы омрачнена уже армиями лесных эльфов и жителей Озёрного города. Бард, возглавляющий людей, требует от Торина поделиться с ним частью сокровищ, как и король лесных эльфов. Торин отказывается выполнять претезания на вновь обретенные богатства — он опьянен ими, перебирает их часами напролет, теряя рассудок, подчиненный блеском зачарованного драконом золота.	1301	Вперед				
	1301	Он в поисках среди драгоценностей. Аркенстон — драгоценный камень королевской династии гномов, представляющий для Торина наибольшую ценность среди всех сокровищ. Вы до сих пор не в силах признаться, что нашли его, потому что опасаетесь за рассудок гнома, уже продемонстрировавшего ожесточенность в переговорах с осаждающими. >Дело приобретает новый виток трудностей.>>Вы решаете...	14	вынудить гномов вести переговоры и решить конфликт мирным путём	19	отдать камень Торину — потому что вы честный хоббит, а он его законный владелец	19	оставить это все — ваша роль здесь окончена, вы выполнили контракт, поэтому хотели бы взять причитающуюся долю и вернуться домой
	14	Вы передаёте предводителям армий людей и эльфов в качестве залога найденный Аркенстон, поэтому Торин обвиняет вас в предательстве и прогоняет. В это же время к Одинокой Горе подходит войско гномов из Железных Холмов под руководством родственника Торина. Враждующие стороны едва не начинают битву, однако у Одинокой Горы неожиданно появляются армии гоблинов и варгов. В этих обстоятельствах гномы, эльфы и люди объединяются против общих врагов.	1401	Начинается сражение				
	1401	Победа достигнута, но дорогой ценой — погибают многие воины, в том числе Торин, перед самой смертью успевший понять и простить ваш поступок. Вы наконец можете отправиться домой, чтобы вернуться к спокойной жизни и вести захватывающие мемуары.	*					
	15	Не все приключения заканчиваются счастливым концом. Вам тоже не повезло. Возможно, стоило быть менее любезным с незнакомцем в солнечный летний денек, может быть, вы совсем забыли об осторожности в ходе этого увлекательного похода и поступили недостаточно осмотрительно. Однако сейчас для вас и ваших компаньонов все кончено.	1501	Вперед				
	16	Не все приключения заканчиваются счастливым концом. Но многие из них даже не начинаются. Сейчас вы спокойно можете жить в своей норе, пить чай в полуденной время, потягивать табак на крыльце, скрытые лиственной тенью. Однако, возможно, именно ваше присутствие могло бы что-то изменить в грядущих событиях. Возможно, стоило быть менее любезным с незнакомцем в солнечный летний денек.	1501	Вперед				
	1501	Одинокая гора все так же останется в лапах дракона, спящего на кучах золота, добытого трудом предков Торина в шахтах и рудниках. Самый большой дракон из ныне живущих вскоре окажется побеспокоен Некромантом, и кто знает, смогут ли они договориться...	1502	Вперед				
	1502	Кольцо, ранее принадлежащее величайшему врагу Свободных народов Средиземья, вскоре должно будет вернуться своему хозяину. И вот тогда спокойной ленности забывших о войне земель придет конец.	*					
	17	Пребывая в ярости и намереваясь отомстить, дракон отправился в Озерный город. Его лучники могли сколько угодно стрелять в дракона, но не могли причинить ему вреда — его чешуя, соединившаяся за годы с золотом и драгоценными камнями из груд сокровищ, на которых он возлежал, была неуязвима. Смауг поджёг и разрушил большую часть домов в Эсгароте.	1701	Вперед				
	1701	Чёрная стрела, выкованная в кузнице короля Под Горой, не может поразить Смауга в единственное слабое место на груди, туда, где прореха в драгоценной броне, потому как об уязвимости никто так и не узнает.	15	Вперед				
	18	Теперь, к сожалению, путь гномов так и останется незаконченным.	15	Вперед				
	19	Бард, возглавляющий людей, требует от Торина поделиться с ним частью сокровищ, обосновывая это следующим образом:>1) он убил дракона, поэтому заслуживает награды;>2) он является наследником Гириона, властителя Дейла, а часть своих сокровищ дракон похитил из этого города;>3) по вине гномов Смауг уничтожил Озёрный город, жители которого оказали помощь Торину и его спутникам во время похода.	1901	Вперед				
	1901	У могущественного короля лесных эльфов и в самом деле была слабость — он был скуповат. Сокровищница его ломилась от золота, серебра и алмазов, но он хотел еще и еще, чтобы сравняться в богатстве с прежними властелинами эльфов. Теперь же он хотел от эльфов возвращения части сокровищ, принадлежавших ему.>>Именно поэтому им предстояла долгая осада, потому как уже очарованный драконьим золотом Торин не собирался делиться и долей полученного богатства.	15	Вперед				
